i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,3.484196E+00,1.615762E+00,1.440695E+00,7.655329E-01,-1.100000E+00,-8.404719E-03,ds/dt,4.000000E-02,2.000000E-02,4.000000E-03,-4.000000E-03,mub/GeV2
2,3.616337E+00,1.686449E+00,1.519913E+00,9.233566E-01,-4.000000E-01,-7.086636E-03,ds/dt,4.200000E-01,1.250000E-01,4.200000E-02,-4.200000E-02,mub/GeV2
3,3.616337E+00,1.686449E+00,1.519913E+00,9.038501E-01,-5.000000E-01,-7.086636E-03,ds/dt,2.900000E-01,7.000000E-02,2.900000E-02,-2.900000E-02,mub/GeV2
4,3.616337E+00,1.686449E+00,1.519913E+00,8.648372E-01,-7.000000E-01,-7.086636E-03,ds/dt,1.700000E-01,4.000000E-02,1.700000E-02,-1.700000E-02,mub/GeV2
5,3.616337E+00,1.686449E+00,1.519913E+00,8.258243E-01,-9.000000E-01,-7.086636E-03,ds/dt,6.000000E-02,3.500000E-02,6.000000E-03,-6.000000E-03,mub/GeV2
6,4.739263E+00,2.276752E+00,2.157687E+00,9.595069E-01,-4.000000E-01,-2.154251E-03,ds/dt,3.630000E-01,8.250000E-02,3.630000E-02,-3.630000E-02,mub/GeV2
7,4.739263E+00,2.276752E+00,2.157687E+00,9.493289E-01,-5.000000E-01,-2.154251E-03,ds/dt,1.710000E-01,4.100000E-02,1.710000E-02,-1.710000E-02,mub/GeV2
8,4.739263E+00,2.276752E+00,2.157687E+00,9.289727E-01,-7.000000E-01,-2.154251E-03,ds/dt,8.610000E-02,2.060000E-02,8.610000E-03,-8.610000E-03,mub/GeV2
9,4.739263E+00,2.276752E+00,2.157687E+00,9.086166E-01,-9.000000E-01,-2.154251E-03,ds/dt,3.750000E-02,1.105000E-02,3.750000E-03,-3.750000E-03,mub/GeV2
10,5.027467E+00,2.426179E+00,2.315013E+00,9.734427E-01,-3.000000E-01,-1.674413E-03,ds/dt,5.650000E-01,1.135000E-01,5.650000E-02,-5.650000E-02,mub/GeV2
11,5.027467E+00,2.426179E+00,2.315013E+00,9.645406E-01,-4.000000E-01,-1.674413E-03,ds/dt,3.020000E-01,6.100000E-02,3.020000E-02,-3.020000E-02,mub/GeV2
12,5.027467E+00,2.426179E+00,2.315013E+00,9.556384E-01,-5.000000E-01,-1.674413E-03,ds/dt,2.110000E-01,6.100000E-02,2.110000E-02,-2.110000E-02,mub/GeV2
13,5.027467E+00,2.426179E+00,2.315013E+00,9.379232E-01,-6.990000E-01,-1.674413E-03,ds/dt,8.930000E-02,1.950000E-02,8.930000E-03,-8.930000E-03,mub/GeV2
14,5.027467E+00,2.426179E+00,2.315013E+00,9.201189E-01,-8.990000E-01,-1.674413E-03,ds/dt,3.400000E-02,8.100000E-03,3.400000E-03,-3.400000E-03,mub/GeV2
15,5.027467E+00,2.426179E+00,2.315013E+00,9.022257E-01,-1.100000E+00,-1.674413E-03,ds/dt,2.900000E-02,1.110000E-02,2.900000E-03,-2.900000E-03,mub/GeV2
16,5.300023E+00,2.566959E+00,2.462309E+00,9.763742E-01,-3.000000E-01,-1.338843E-03,ds/dt,4.950000E-01,9.500000E-02,4.950000E-02,-4.950000E-02,mub/GeV2
17,5.300023E+00,2.566959E+00,2.462309E+00,9.684636E-01,-4.000000E-01,-1.338843E-03,ds/dt,2.920000E-01,6.300000E-02,2.920000E-02,-2.920000E-02,mub/GeV2
18,5.300023E+00,2.566959E+00,2.462309E+00,9.605530E-01,-5.000000E-01,-1.338843E-03,ds/dt,1.910000E-01,4.250000E-02,1.910000E-02,-1.910000E-02,mub/GeV2
19,5.300023E+00,2.566959E+00,2.462309E+00,9.447318E-01,-7.000000E-01,-1.338843E-03,ds/dt,9.010000E-02,1.550000E-02,9.010000E-03,-9.010000E-03,mub/GeV2
20,5.300023E+00,2.566959E+00,2.462309E+00,9.289107E-01,-9.000000E-01,-1.338843E-03,ds/dt,3.510000E-02,1.105000E-02,3.510000E-03,-3.510000E-03,mub/GeV2
21,5.559232E+00,2.700436E+00,2.601278E+00,9.787244E-01,-3.000000E-01,-1.094971E-03,ds/dt,2.600000E-01,1.005000E-01,2.600000E-02,-2.600000E-02,mub/GeV2
22,5.559232E+00,2.700436E+00,2.601278E+00,9.716777E-01,-3.990000E-01,-1.094971E-03,ds/dt,2.080000E-01,1.323000E-01,2.080000E-02,-2.080000E-02,mub/GeV2
23,5.559232E+00,2.700436E+00,2.601278E+00,9.645598E-01,-4.990000E-01,-1.094971E-03,ds/dt,1.290000E-01,3.925000E-02,1.290000E-02,-1.290000E-02,mub/GeV2
24,5.559232E+00,2.700436E+00,2.601278E+00,9.504665E-01,-6.970000E-01,-1.094971E-03,ds/dt,5.560000E-02,1.765000E-02,5.560000E-03,-5.560000E-03,mub/GeV2
25,5.559232E+00,2.700436E+00,2.601278E+00,9.360172E-01,-9.000000E-01,-1.094971E-03,ds/dt,2.980000E-02,9.250000E-03,2.980000E-03,-2.980000E-03,mub/GeV2
26,5.559232E+00,2.700436E+00,2.601278E+00,9.217815E-01,-1.100000E+00,-1.094971E-03,ds/dt,2.690000E-02,7.100000E-03,2.690000E-03,-2.690000E-03,mub/GeV2
27,5.559232E+00,2.700436E+00,2.601278E+00,9.018515E-01,-1.380000E+00,-1.094971E-03,ds/dt,7.100000E-03,2.935000E-03,7.100000E-04,-7.100000E-04,mub/GeV2
28,5.855155E+00,2.852400E+00,2.758817E+00,9.809309E-01,-3.010000E-01,-8.811453E-04,ds/dt,3.050000E-01,1.285000E-01,3.050000E-02,-3.050000E-02,mub/GeV2
29,5.855155E+00,2.852400E+00,2.758817E+00,9.682868E-01,-5.000000E-01,-8.811453E-04,ds/dt,1.380000E-01,3.945000E-02,1.380000E-02,-1.380000E-02,mub/GeV2
30,5.855155E+00,2.852400E+00,2.758817E+00,9.556426E-01,-6.990000E-01,-8.811453E-04,ds/dt,6.250000E-02,1.885000E-02,6.250000E-03,-6.250000E-03,mub/GeV2
31,5.855155E+00,2.852400E+00,2.758817E+00,9.429349E-01,-8.990000E-01,-8.811453E-04,ds/dt,2.590000E-02,1.100000E-02,2.590000E-03,-2.590000E-03,mub/GeV2
